SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
ACAC,Acanthurus achilles,Acanthurus achilles,NA,Species,Acanthurus,Acanthuridae,Achilles Tang,Surgeonfish,Surgeonfish,NA,25,0.025,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACAN,Acanthurus rackliffei,Acanthurus achillesXnigricans hybrid= rackliffei,NA,Species,Acanthurus,Acanthuridae,Achilles Tang And Whitecheek Surgeonfish Hybrid,Surgeonfish,Surgeonfish,NA,25,0.025,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACAL,Acanthurus albipectoralis,Acanthurus albipectoralis,NA,Species,Acanthurus,Acanthuridae,Whitefin Surgeonfish,Surgeonfish,Surgeonfish,NA,33,0.028,2.983,0.91,FL,0.75,0.91,H,Herbivore,PRIMARY,Kulbicki genus mean
ACBA,Acanthurus bariene,Acanthurus bariene,NA,Species,Acanthurus,Acanthuridae,Roundspot Surgeonfish,Surgeonfish,Surgeonfish,NA,56,0.0426,2.86826,0.83,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Acanthurus dussumieri
ACBL,Acanthurus blochii,Acanthurus blochii,NA,Species,Acanthurus,Acanthuridae,Ringtail Surgeonfish,Surgeonfish,Surgeonfish,NA,43,0.02506,3.03193,0.93,FL,0.92,0.93,H,Herbivore,PRIMARY,Kulbicki 2005
ACDU,Acanthurus dussumieri,Acanthurus dussumieri,NA,Species,Acanthurus,Acanthuridae,Eyestripe Surgeonfish,Surgeonfish,Surgeonfish,NA,56,0.04256,2.86826,0.93,FL,0.92,0.93,H,Herbivore,PRIMARY,Kulbicki 2005
ACGU,Acanthurus guttatus,Acanthurus guttatus,NA,Species,Acanthurus,Acanthuridae,Whitespotted Surgeonfish,Surgeonfish,Surgeonfish,NA,29,0.0029,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACLU,Acanthurus leucocheilus,Acanthurus leucocheilus,NA,Species,Acanthurus,Acanthuridae,Palelipped Surgeonfish,Surgeonfish,Surgeonfish,NA,45,0.0261,3.024,0.9,FL,0.85,0.9,H,Herbivore,PRIMARY,FB value for ACNI
ACLE,Acanthurus leucopareius,Acanthurus leucopareius,NA,Species,Acanthurus,Acanthuridae,Whitebar Surgeonfish,Surgeonfish,Surgeonfish,NA,25,0.0028,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACLI,Acanthurus lineatus,Acanthurus lineatus,NA,Species,Acanthurus,Acanthuridae,Lined Surgeonfish,Surgeonfish,Surgeonfish,NA,38,0.0412,2.85,1,TL,1,NA,H,Herbivore,PRIMARY,NA
ACMA,Acanthurus maculiceps,Acanthurus maculiceps,NA,Species,Acanthurus,Acanthuridae,White-Freckled Surgeonfish,Surgeonfish,Surgeonfish,NA,41,0.027,2.945,0.83,FL,NA,0.83,H,Herbivore,PRIMARY,FB
ACMT,Acanthurus mata,Acanthurus mata,NA,Species,Acanthurus,Acanthuridae,Elongate Surgeonfish,Surgeonfish,Surgeonfish,NA,50,0.02224,3.00795,0.94,FL,0.94,0.94,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
ACNC,Acanthurus nigricans,Acanthurus nigricans,NA,Species,Acanthurus,Acanthuridae,Whitecheek Surgeonfish,Surgeonfish,Surgeonfish,NA,23,0.067,2.669,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACNI,Acanthurus nigricauda,Acanthurus nigricauda,NA,Species,Acanthurus,Acanthuridae,Epaulette Surgeonfish,Surgeonfish,Surgeonfish,NA,40,0.01678,3.16772,0.84,FL,0.82,0.84,H,Herbivore,PRIMARY,Kulbicki 2005
ACNF,Acanthurus nigrofuscus,Acanthurus nigrofuscus,NA,Species,Acanthurus,Acanthuridae,Brown Surgeonfish,Surgeonfish,Surgeonfish,NA,23,0.02637,3.02837,0.91,FL,0.76,0.91,H,Herbivore,PRIMARY,Kulbicki 2005
ACNR,Acanthurus nigroris,Acanthurus nigroris,NA,Species,Acanthurus,Acanthuridae,Bluelined Surgeonfish,Surgeonfish,Surgeonfish,NA,25,0.021,2.9435,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
ACNU,Acanthurus nubilus,Acanthurus nubilus,NA,Species,Acanthurus,Acanthuridae,Bluelined Surgeon,Surgeonfish,Surgeonfish,NA,26,0.021,2.9435,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
ACOL,Acanthurus olivaceus,Acanthurus olivaceus,NA,Species,Acanthurus,Acanthuridae,Orangespot Surgeonfish,Surgeonfish,Surgeonfish,NA,40,0.03839,3.055,0.86,FL,0.75,0.86,H,Herbivore,PRIMARY,FB
ACPY,Acanthurus pyroferus,Acanthurus pyroferus,NA,Species,Acanthurus,Acanthuridae,Chocolate Surgeonfish,Surgeonfish,Surgeonfish,NA,25,0.018,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
ACSP,Acanthurus sp.,Acanthurus sp,NA,Genus,Acanthurus,Acanthuridae,Acanthurus sp.,Surgeonfish,Surgeonfish,NA,57,0.02803,2.98288,0.9,FL,NA,0.9,H,Herbivore,PRIMARY,Kulbicki 2005
ACTH,Acanthurus thompsoni,Acanthurus thompsoni,NA,Species,Acanthurus,Acanthuridae,Thompson's Surgeonfish,Surgeonfish,Surgeonfish,NA,28,0.0153,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
ACTR,Acanthurus triostegus,Acanthurus triostegus,NA,Species,Acanthurus,Acanthuridae,Convict Surgeonfish,Surgeonfish,Surgeonfish,NA,27,0.08306,2.56968,0.87,FL,0.97,0.87,H,Herbivore,PRIMARY,Kulbicki 2005
ACXA,Acanthurus xanthopterus,Acanthurus xanthopterus,NA,Species,Acanthurus,Acanthuridae,Yellowfin Surgeonfish,Surgeonfish,Surgeonfish,NA,65,0.02673,2.98449,0.87,FL,0.74,0.87,H,Herbivore,PRIMARY,Kulbicki 2005
ACBR,Acentronura breviperula,Acentronura breviperula,NA,Species,Acentronura,Syngnathidae,Shortpouch Pygmy Pipehorse,Rare_Families,Pipefishes and seahorses,Y,7,4.00E-04,4.12011,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kublicki for Hippocampus spp.
AEST,Aeoliscus strigatus,Aeoliscus strigatus,NA,Species,Aeoliscus,Centriscidae,Razorfish,Rare_Families,"Razorfish, shrimpfishes",NA,15,0.00096,2.891,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Lissocampus filum
AERO,Aethaloperca rogaa,Aethaloperca rogaa,NA,Species,Aethaloperca,Serranidae,Redmouth Grouper,Grouper,Grouper,NA,60,0.0134,3.031,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki Serranid mean
AENA,Aetobatus narinari,Aetobatus narinari,NA,Species,Aetobatus,Myliobatidae,Spotted Eagle Ray,Rare_Families,Eagle Rays,NA,350,0.0059,3.13,1,WD,1,1,MI,Mobile invertivore,SECONDARY,FB
AEOC,Aetobatus ocellatus,Aetobatus ocellatus,Aetobatus narinari,Species,Aetobatus,Myliobatidae,Spotted Eagle Ray,Rare_Families,Eagle Rays,NA,350,0.0059,3.13,1,WD,1,1,MI,Mobile invertivore,SECONDARY,FB
ALGL,Albula glossodonta,Albula glossodonta,NA,Species,Albula,Albulidae,Roundjaw Bonefish,Rare_Families,Bonefish,NA,90,0.0227,2.8989,1,?,1,NA,MI,Mobile invertivore,SECONDARY,FB
ALCI,Alectis ciliaris,Alectis ciliaris,NA,Species,Alectis,Carangidae,African Pompano,Jack,Jack,NA,150,0.0412,2.85,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB
ALSC,Aluterus scriptus,Aluterus scriptus,NA,Species,Aluterus,Monacanthidae,Scrawled Filefish,Rare_Families,Filefish,NA,76,0.0022,3,1,TL,1,NA,Om,Omnivore,SECONDARY,FB
AMSC,Amanses scopas,Amanses scopas,NA,Species,Amanses,Monacanthidae,Broom Filefish,Rare_Families,Filefish,NA,20,0.0228,2.8708,1,TL,1,NA,Cor,Corallivore,SECONDARY,FB mean for family
AMBI,Amblycirrhitus bimacula,Amblycirrhitus bimacula,NA,Species,Amblycirrhitus,Cirrhitidae,Twospot Hawkfish,Rare_Families,Hawkfish,NA,9,0.00929,3.268,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Cirrhitidae mean
AMFA,Amblyeleotris fasciata,Amblyeleotris fasciata,NA,Species,Amblyeleotris,Gobiidae,Red-Banded/Barred Shrimpgoby,Rare_Families,Goby,Y,8,0.0264,2.623,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Gobiidae mean
AMGU,Amblyeleotris guttata,Amblyeleotris guttata,NA,Species,Amblyeleotris,Gobiidae,Spotted Prawn-Goby,Rare_Families,Goby,Y,9,0.0129,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
AMSP,Amblyeleotris sp.,Amblyeleotris sp,NA,Genus,Amblyeleotris,Gobiidae,Amblyeleotris sp.,Rare_Families,Goby,Y,10,0.0129,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value from AMGU
AMST,Amblyeleotris steinitzi,Amblyeleotris steinitzi,NA,Species,Amblyeleotris,Gobiidae,Steinitz' Prawn-Goby,Rare_Families,Goby,Y,13,0.0264,2.623,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Gobiidae mean
AMWH,Amblyeleotris wheeleri,Amblyeleotris wheeleri,NA,Species,Amblyeleotris,Gobiidae,Gorgeous Prawn-Goby,Rare_Families,Goby,Y,10,0.0264,2.623,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Gobiidae spp.
AMAU,Amblyglyphidodon aureus,Amblyglyphidodon aureus,NA,Species,Amblyglyphidodon,Pomacentridae,Golden Damselfish,Damselfish,Damselfish,NA,13,0.0144,3.33,0.91,FL,NA,0.91,Pk,Planktivore,PLANKTIVORE,Kulbicki Amblyglyphidodon mean
AMCU,Amblyglyphidodon curacao,Amblyglyphidodon curacao,NA,Species,Amblyglyphidodon,Pomacentridae,Staghorn Damselfish,Damselfish,Damselfish,NA,10.5,0.0126,3.43508,0.92,FL,NA,0.92,Om,Omnivore,SECONDARY,Kulbicki 2005
AMLE,Amblyglyphidodon leucogaster,Amblyglyphidodon leucogaster,NA,Species,Amblyglyphidodon,Pomacentridae,Yellowbelly Damselfish,Damselfish,Damselfish,NA,10.4,0.02974,2.93605,0.91,FL,NA,0.91,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
AMOR,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,NA,Species,Amblyglyphidodon,Pomacentridae,Orbicular Damsel,Damselfish,Damselfish,NA,10,0.0189,3.19,0.91,FL,NA,0.91,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005 genera
AMPH,Amblygobius phalaena,Amblygobius phalaena,NA,Species,Amblygobius,Gobiidae,Banded Goby,Rare_Families,Goby,Y,14,0.01838,2.83356999,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki 2005
AMRA,Amblygobius rainfordi,Amblygobius rainfordi,NA,Species,Amblygobius,Gobiidae,Old Glory,Rare_Families,Goby,Y,8.5,0.0264,2.623,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Gobiidae mean
AMBR,Amblypomacentrus breviceps,Amblypomacentrus breviceps,NA,Species,Amblypomacentrus,Pomacentridae,Black-Banded Demoiselle,Damselfish,Damselfish,NA,9,0.0252,2.972,0.9009,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Pomacentrus pavo
AMCH,Amphiprion chrysopterus,Amphiprion chrysopterus,NA,Species,Amphiprion,Pomacentridae,Orangefin Anemonefish,Damselfish,Damselfish,NA,17,0.0145,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
AMCL,Amphiprion clarkii,Amphiprion clarkii,NA,Species,Amphiprion,Pomacentridae,Yellowtail Clownfish,Damselfish,Damselfish,NA,14,0.0189,3.19,0.96,FL,NA,0.96,Pk,Planktivore,PLANKTIVORE,Kulbicki Amblyglyphidodon mean
AMME,Amphiprion melanopus,Amphiprion melanopus,NA,Species,Amphiprion,Pomacentridae,Fire Clownfish,Damselfish,Damselfish,NA,10.8,0.01545,3.29798,0.99,FL,NA,0.99,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
AMOC,Amphiprion ocellaris,Amphiprion ocellaris,NA,Species,Amphiprion,Pomacentridae,Clown Anemonefish,Damselfish,Damselfish,NA,11,0.0189,3.19,1,FL,NA,NA,Om,Omnivore,SECONDARY,Kulbicki for Amphiprion spp. 
AMPE,Amphiprion perideraion,Amphiprion perideraion,NA,Species,Amphiprion,Pomacentridae,Pink Anemonefish,Damselfish,Damselfish,NA,10,0.0189,3.19,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Chromis mean
AMPO,Amphiprion polymnus,Amphiprion polymnus,NA,Species,Amphiprion,Pomacentridae,Saddleback Clownfish,Damselfish,Damselfish,NA,13,0.0316,2.93,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Amphiprion akindynos
AMSA,Amphiprion sandaracinos,Amphiprion sandaracinos,NA,Species,Amphiprion,Pomacentridae,Yellow Clownfish,Damselfish,Damselfish,NA,10,0.0189,3.19,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Amphiprion spp. 
AMTR,Amphiprion tricinctus,Amphiprion tricinctus,NA,Species,Amphiprion,Pomacentridae,Maroon Clownfish/Threeband Anemonefish,Damselfish,Damselfish,NA,12,0.03852,2.90406,0.98,FL,NA,0.98,H,Herbivore,PRIMARY,Kulbicki 2005
ANCA,Anampses caeruleopunctatus,Anampses caeruleopunctatus,NA,Species,Anampses,Labridae,Bluespotted Wrasse,Wrasse,Wrasse,NA,42,0.0105,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value from ANME
ANCH,Anampses chrysocephalus,Anampses chrysocephalus,NA,Species,Anampses,Labridae,Red Tail Wrasse,Wrasse,Wrasse,NA,20,0.0226,2.793,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Anampses mean
ANCU,Anampses cuvier,Anampses cuvier,NA,Species,Anampses,Labridae,Pearl Wrasse,Wrasse,Wrasse,NA,36,0.0226,2.793,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Anampses mean
ANGG,Anampses geographicus,Anampses geographicus,NA,Species,Anampses,Labridae,Geographic Wrasse,Wrasse,Wrasse,NA,24,0.0226,2.793,0.97,FL,NA,0.97,Pk,Planktivore,PLANKTIVORE,Kulbicki Anampses mean
ANME,Anampses melanurus,Anampses melanurus,NA,Species,Anampses,Labridae,White-Spotted Wrasse,Wrasse,Wrasse,NA,12,0.0105,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
ANMG,Anampses meleagrides,Anampses meleagrides,NA,Species,Anampses,Labridae,Spotted Wrasse,Wrasse,Wrasse,NA,22,0.02261,2.79271,1,FL,1,1,MI,Mobile invertivore,SECONDARY,NA
ANSP,Anampses sp.,Anampses sp,NA,Genus,Anampses,Labridae,Anampses sp.,Wrasse,Wrasse,NA,20,0.02261,2.79271,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
ANTW,Anampses twistii,Anampses twistii,NA,Species,Anampses,Labridae,Yellowbreasted Wrasse,Wrasse,Wrasse,NA,18,0.0147,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
ANCO,Antennarius commerson,Antennarius commerson,NA,Species,Antennarius,Antennariidae,Commerson's Frogfish,Rare_Families,Frogfish,Y,38,0.0236,3.293,1,FL,NA,1,Pisc,Piscivore,PISCIVORE,Kulbicki genus mean
ANTH,Anthias sp.,Anthias sp,NA,Genus,Anthias,Serranidae,Anthias sp.,Anthias,Anthias,NA,14,0.01369,3.14874,0.87,FL,0.82,0.87,Pk,Planktivore,PLANKTIVORE,FB value for PSPA
ANLE,Anyperodon leucogrammicus,Anyperodon leucogrammicus,NA,Species,Anyperodon,Serranidae,Slender Grouper,Grouper,Grouper,NA,60,0.0014,3.548,1,FL,1,1,Pisc,Piscivore,PISCIVORE,need biomass values
APFU,Aphareus furca,Aphareus furca,NA,Species,Aphareus,Lutjanidae,Small Toothed Jobfish,Snapper,Snapper,NA,70,0.0105,3,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB
APCR,Apogon crassiceps,Apogon crassiceps,NA,Species,Apogon,Apogonidae,Transparent Cardinalfish,Rare_Families,Cardinalfish,NA,5,0.0049,3.78,0.8920606,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Apogon angustatus
APKA,Apogon kallopterus,Apogon kallopterus,NA,Species,Apogon,Apogonidae,Iridescent Cardinalfish,Rare_Families,Cardinalfish,NA,12,0.0101,3.31416,0.93,FL,NA,0.93,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
APMA,Apogon maculiferus,Apogon maculiferus,NA,Species,Apogon,Apogonidae,Spotted Cardinalfish,Rare_Families,Cardinalfish,NA,14,0.0155,3.121,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
APSE,Apogon semiornatus,Apogon semiornatus,NA,Species,Apogon,Apogonidae,Oblique-Banded Cardinalfish,Rare_Families,Cardinalfish,NA,8,0.0049,3.78,0.9794319,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Apogon angustatus
APSP,Apogon sp.,Apogon sp,NA,Genus,Apogon,Apogonidae,Apogon sp.,Rare_Families,Cardinalfish,NA,16,0.01545,3.12126,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
APTA,Apogon taeniopterus,Apogon taeniopterus,NA,Species,Apogon,Apogonidae,Bandfin Cardinalfish,Rare_Families,Cardinalfish,NA,15,0.0155,3.121,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
APTM,Apogon trimaculatus,Apogon trimaculatus,NA,Species,Apogon,Apogonidae,Three-Spot Cardinalfish,Rare_Families,Cardinalfish,NA,16,0.02174,2.97142,0.96,FL,NA,0.96,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
APPE,Apogonichthys perdix,Apogonichthys perdix,NA,Species,Apogonichthys,Apogonidae,Perdix Cardinalfish,Rare_Families,Cardinalfish,NA,5,0.0155,3.121,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
CARD,Apogonidae,Apogonidae,NA,Family,Apogonidae,Apogonidae,Apogonidae,Rare_Families,Cardinalfish,NA,16,0.01545,3.12126,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
APAR,Apolemichthys arcuatus,Apolemichthys arcuatus,Desmoholacanthus arcuatus,Species,Apolemichthys,Pomacanthidae,Banded Angelfish,Rare_Families,Angelfish,NA,18,0.0669,2.724,1,FL,NA,1,SI,Sessile invertivore,SECONDARY,Kulbicki Pomacanthus sextriatus
APGR,Apolemichthys griffisi,Apolemichthys griffisi,NA,Species,Apolemichthys,Pomacanthidae,Griffis Angelfish,Rare_Families,Angelfish,NA,25,0.0669,2.724,1,FL,1,1,SI,Sessile invertivore,SECONDARY,Kulbicki Pomacanthus sextriatus
APTR,Apolemichthys trimaculatus,Apolemichthys trimaculatus,NA,Species,Apolemichthys,Pomacanthidae,Threespot Angelfish,Rare_Families,Angelfish,NA,25,0.0669,2.724,1,FL,NA,1,SI,Sessile invertivore,SECONDARY,Kulbicki Pomacanthus sextriatus
APXA,Apolemichthys xanthopunctatus,Apolemichthys xanthopunctatus,NA,Species,Apolemichthys,Pomacanthidae,Goldspotted Angelfish,Rare_Families,Angelfish,NA,25,0.0669,2.724,1,FL,1,1,SI,Sessile invertivore,SECONDARY,Kulbicki Pomacanthus sextriatus
APVI,Aprion virescens,Aprion virescens,NA,Species,Aprion,Lutjanidae,Green Jobfish,Snapper,Snapper,NA,112,0.02297,2.88627,0.9,FL,0.81,0.9,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
ARBI,Archamia biguttata,Archamia biguttata,NA,Species,Archamia,Apogonidae,Twinspot Cardinalfish,Rare_Families,Cardinalfish,NA,9,0.01545,3.12126,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,LW_a & LW_b was taken from Apogon sp.
ARFU,Archamia fucata,Archamia fucata,NA,Species,Archamia,Apogonidae,Orange-Lined Cardinalfish,Rare_Families,Cardinalfish,NA,8,0.01545,3.12126,0.95,FL,NA,0.95,Pk,Planktivore,PLANKTIVORE,Kulbicki Apogon mean
ARHI,Arothron hispidus,Arothron hispidus,NA,Species,Arothron,Tetraodontidae,White-Spotted Puffer,Rare_Families,Pufferfish,NA,52,0.06338,2.75597,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
ARIM,Arothron immaculatus,Arothron immaculatus,NA,Species,Arothron,Tetraodontidae,Immaculate Pufferfish,Rare_Families,Pufferfish,NA,30,0.0351,2.845,1,FL,NA,NA,Cor,Corallivore,SECONDARY,Kulbicki 2005
ARMN,Arothron manilensis,Arothron manilensis,NA,Species,Arothron,Tetraodontidae,Narrow-Lined Puffer,Rare_Families,Pufferfish,NA,31,0.0299,2.907,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
ARMA,Arothron mappa,Arothron mappa,NA,Species,Arothron,Tetraodontidae,Map Puffer,Rare_Families,Pufferfish,NA,65,0.0307,2.8499,1,?,NA,NA,Om,Omnivore,SECONDARY,FishBase mean for genus
ARME,Arothron meleagris,Arothron meleagris,NA,Species,Arothron,Tetraodontidae,Guineafowl Puffer,Rare_Families,Pufferfish,NA,50,0.40816326,2.7027027,1,FL,0.86,1,Cor,Corallivore,SECONDARY,NA
ARNI,Arothron nigropunctatus,Arothron nigropunctatus,NA,Species,Arothron,Tetraodontidae,Blackspotted Puffer,Rare_Families,Pufferfish,NA,33,0.0266,3,1,TL,1,NA,Cor,Corallivore,SECONDARY,FB
ARST,Arothron stellatus,Arothron stellatus,NA,Species,Arothron,Tetraodontidae,Starry Toadfish,Rare_Families,Pufferfish,NA,120,0.0915,2.67239,1,FL,1,1,Cor,Corallivore,SECONDARY,Kulbicki 2005
ASSU,Aseraggodes suzumotoi,Aseraggodes suzumotoi,NA,Species,Aseraggodes,Soleidae,Ambon Sole,Rare_Families,Sole,Y,8,0.001,4.075,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Asterorhombus intermedius
ASTA,Aspidontus taeniatus,Aspidontus taeniatus,NA,Species,Aspidontus,Blenniidae,False Cleanerfish,Rare_Families,Blenny,Y,12,0.02037181,3.23093426,1,FL,NA,1,Par,Parasite,SECONDARY,Kulbicki value for LADI
ASEN,Asterropteryx ensifera,Asterropteryx ensifera,NA,Species,Asterropteryx,Gobiidae,Miller's Damsel,Rare_Families,Goby,Y,3,0.0264,2.623,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,NA
ASSE,Asterropteryx semipunctata,Asterropteryx semipunctata,NA,Species,Asterropteryx,Gobiidae,Starry Goby,Rare_Families,Goby,Y,4,0.0264,2.623,1,FL,NA,1,SI,Sessile invertivore,SECONDARY,Kulbicki Gobiidae mean
ASST,Asterropteryx striata,Asterropteryx striata,Asterropteryx striatus,Species,Asterropteryx,Gobiidae,Striped Goby,Rare_Families,Goby,Y,2.3,0.0158,3,1,?,NA,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
ATIN,Atherinomorus insularum,Atherinomorus insularum,NA,Species,Atherinomorus,Atherinidae,Hawaiian Islands Silverside,Rare_Families,Silverside,NA,9,0.0064,3.298,0.9,FL,NA,0.9,Pk,Planktivore,PLANKTIVORE,Kulbicki Atherinomorous lacunosus
ATMA,Atule mate,Atule mate,NA,Species,Atule,Carangidae,Yellowtail Scad,Jack,Jack,NA,30,0.0166,2.949,0.9,FL,NA,0.9,Pk,Planktivore,PLANKTIVORE,Kulbicki
AUCH,Aulostomus chinensis,Aulostomus chinensis,NA,Species,Aulostomus,Aulostomidae,Chinese Trumpetfish,Rare_Families,Trumpetfish,NA,80,0.00021,3.51443,1,FL,1,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
BAUN,Balistapus undulatus,Balistapus undulatus,NA,Species,Balistapus,Balistidae,Orange-Lined Triggerfish,Triggerfish,Triggerfish,NA,30,0.0058,3.554,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
